"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"46","Zach Ertz (WAS)","27","43","187","6.9","17","0","1","0","0","0","0","7","38.2","5.5","3.4%"
"47","Daniel Bellinger (NYG)","25","28","255","10.2","26","4","0","0","0","0","0","17","38.0","2.2","0.8%"
"48","Austin Hooper (NE)","25","31","234","9.4","21","2","0","0","0","0","0","17","35.9","2.1","0.3%"
"49","Foster Moreau (NO)","21","25","193","9.2","23","1","1","0","0","0","0","15","35.8","2.4","0.1%"
"50","Hayden Hurst (LAC)","18","32","184","10.2","48","1","1","0","0","0","0","10","33.4","3.3","2.2%"
"51","Andrew Beck (HOU)","11","13","55","5.0","26","1","2","5","3","1","1","15","33.3","2.2","0.1%"
"52","Johnny Mundt (MIN)","17","23","172","10.1","32","2","1","0","0","0","0","17","31.7","1.9","1.5%"
"53","Will Dissly (LAC)","17","22","172","10.1","21","2","1","0","0","0","0","16","31.7","2.0","0.2%"
"54","Harrison Bryant (LV)","13","20","81","6.2","23","1","3","5","8","0","1","17","31.4","1.8","0.1%"
"55","Pharaoh Brown (SEA)","13","15","208","16.0","58","5","1","0","0","0","1","17","31.3","1.8","0.1%"
"56","Drew Ogletree (IND)","9","21","147","16.3","33","4","2","0","0","0","0","12","31.2","2.6","0.1%"
"57","Jimmy Graham (FA)","6","7","39","6.5","12","0","4","0","0","0","0","13","30.9","2.4","0.0%"
"58","Will Mallory (IND)","18","26","207","11.5","43","1","0","0","0","0","0","12","29.7","2.5","0.1%"
"59","Elijah Higgins (ARI)","14","19","163","11.6","26","3","1","0","0","0","0","11","29.3","2.7","0.1%"
"60","Connor Heyward (PIT)","23","34","167","7.3","13","0","0","1","0","0","0","17","28.2","1.7","0.2%"
"61","Stone Smartt (LAC)","11","21","155","14.1","51","3","1","0","0","0","0","16","27.0","1.7","0.1%"
"62","John Bates (WAS)","19","28","151","7.9","35","1","0","0","0","0","0","17","24.6","1.4","0.0%"
"63","Irv Smith Jr. (KC)","18","26","115","6.4","14","0","1","0","0","0","1","12","24.5","2.0","1.7%"
"64","Jeremy Ruckert (NYJ)","16","22","151","9.4","23","1","0","0","0","0","0","15","23.1","1.5","0.2%"
"65","Luke Schoonmaker (DAL)","8","15","65","8.1","18","0","2","0","0","0","0","17","22.5","1.3","0.3%"
"66","Luke Farrell (JAC)","13","15","155","11.9","42","2","0","0","0","0","0","17","22.0","1.3","0.1%"
"67","Brock Wright (DET)","13","14","91","7.0","25","1","1","0","0","0","0","14","21.6","1.5","0.2%"
"68","MyCole Pruitt (PIT)","9","12","110","12.2","22","2","1","0","0","0","0","17","21.5","1.3","0.0%"
"69","Jordan Akins (CLE)","15","23","132","8.8","28","1","0","0","0","0","0","17","20.7","1.2","0.1%"
"70","Davis Allen (LAR)","10","11","95","9.5","21","1","1","0","0","0","0","15","20.5","1.4","0.1%"
"71","Josh Whyle (TEN)","9","15","94","10.4","24","1","1","0","0","0","0","11","19.9","1.8","0.1%"
"72","Lucas Krull (DEN)","8","14","95","11.9","35","1","1","0","0","0","0","7","19.5","2.8","0.1%"
"73","Stephen Sullivan (CAR)","12","24","125","10.4","20","1","0","0","0","0","0","11","18.5","1.7","0.1%"
"74","Charlie Kolar (BAL)","7","9","87","12.4","19","0","1","0","0","0","0","14","18.2","1.3","0.1%"
"75","Cole Turner (WAS)","11","15","120","10.9","29","2","0","0","0","0","0","12","17.5","1.5","0.0%"
"76","Robert Tonyan (MIN)","11","17","112","10.2","24","1","0","0","0","0","0","17","16.7","1.0","0.1%"
"77","C.J. Uzomah (PHI)","8","12","58","7.3","19","0","1","0","0","0","0","12","15.8","1.3","0.1%"
"78","Geoff Swaim (FA)","10","11","94","9.4","26","1","0","0","0","0","0","14","14.4","1.0","0.0%"
"79","Brenton Strange (JAC)","5","9","35","7.0","17","0","1","0","0","0","0","14","12.0","0.9","0.1%"
"80","Marcedes Lewis (CHI)","4","5","29","7.3","16","0","1","0","0","0","0","17","10.9","0.6","0.1%"
"81","Josiah Deguara (JAC)","8","8","65","8.1","19","0","0","0","0","0","0","15","10.5","0.7","0.0%"
"82","Brycen Hopkins (FA)","5","7","78","15.6","29","2","0","0","0","0","0","15","10.3","0.7","0.0%"
"83","Mitchell Wilcox (NE)","9","12","56","6.2","12","0","0","0","0","0","0","17","10.1","0.6","0.0%"
"84","Ben Sims (GB)","4","6","21","5.3","12","0","1","0","0","0","0","16","10.1","0.6","0.1%"
"85","Quintin Morris (BUF)","2","3","26","13.0","15","0","1","0","0","0","0","15","9.6","0.6","0.0%"
"86","Darnell Washington (PIT)","7","10","61","8.7","12","0","0","0","0","0","0","17","9.6","0.6","0.3%"
"87","Blake Bell (FA)","5","9","26","5.2","8","0","1","0","0","0","1","17","9.1","0.5","0.0%"
"88","Payne Durham (TB)","5","7","58","11.6","25","1","0","0","0","0","0","13","8.3","0.6","0.1%"
"89","Ian Thomas (CAR)","5","9","56","11.2","28","1","0","0","0","0","0","12","8.1","0.7","0.1%"
"90","Ko Kieft (TB)","1","5","2","2.0","2","0","1","0","0","0","0","16","6.7","0.4","0.1%"
"91","Jack Stoll (NYG)","5","8","38","7.6","14","0","0","0","0","0","0","17","6.3","0.4","0.0%"
"92","Grant Calcaterra (PHI)","4","4","39","9.8","12","0","0","0","0","0","0","14","5.9","0.4","0.1%"
"93","Julian Hill (MIA)","6","9","48","8.0","18","0","0","0","0","0","1","15","5.8","0.4","0.0%"
"94","Peyton Hendershot (DAL)","4","7","38","9.5","24","1","0","1","0","0","0","8","5.8","0.7","0.1%"
"95","Charlie Woerner (ATL)","3","3","32","10.7","20","1","0","0","0","0","0","17","4.7","0.3","0.1%"
"96","Teagan Quitoriano (HOU)","2","3","33","16.5","22","1","0","0","0","0","0","7","4.3","0.6","0.0%"
"97","Nate Adkins (DEN)","4","5","22","5.5","11","0","0","0","0","0","0","10","4.2","0.4","0.0%"
"98","Greg Dulcich (DEN)","3","4","25","8.3","13","0","0","0","0","0","0","2","4.0","2.0","3.9%"
"99","James Mitchell (DET)","2","2","28","14.0","24","1","0","0","0","0","0","14","3.8","0.3","0.1%"
"100","Kenny Yeboah (NYJ)","2","4","28","14.0","20","1","0","0","0","0","0","5","3.8","0.8","0.0%"
"101","Eric Saubert (SF)","3","3","12","4.0","5","0","0","0","0","0","0","8","2.7","0.3","0.0%"
"102","Nick Muse (MIN)","1","1","22","22.0","22","1","0","0","0","0","0","1","2.7","2.7","0.0%"
"103","Trevon Wesco (FA)","1","3","21","21.0","21","1","0","0","0","0","0","15","2.6","0.2","0.0%"
"104","Chris Manhertz (NYG)","2","4","16","8.0","10","0","0","0","0","0","0","16","2.6","0.2","0.0%"
"105","John FitzPatrick (ATL)","1","1","12","12.0","12","0","0","0","0","0","0","7","1.7","0.2","0.0%"
"106","Ross Dwelley (ATL)","1","2","12","12.0","12","0","0","0","0","0","0","12","1.7","0.1","0.0%"
"107","Tucker Fisk (FA)","1","1","9","9.0","9","0","0","0","0","0","0","6","1.4","0.2","0.1%"
"108","Cole Fotheringham (LV)","1","1","6","6.0","6","0","0","0","0","0","0","2","1.1","0.6","0.0%"
"109","Kevin Rader (FA)","1","3","6","6.0","6","0","0","0","0","0","0","14","1.1","0.1","0.0%"
"110","Jesper Horsted (NO)","1","1","4","4.0","4","0","0","0","0","0","0","5","0.9","0.2","0.0%"
"111","Nick Vannett (TEN)","1","1","3","3.0","3","0","0","0","0","0","0","8","0.8","0.1","0.0%"
"112","Giovanni Ricci (CLE)","1","1","2","2.0","2","0","0","0","0","0","0","6","0.7","0.1","0.0%"
"113","Matt Sokol (FA)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"114","Matt Orzech (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"115","Parker Hesse (DET)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"116","Mitchell Fraboni (DEN)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"117","Tommy Sweeney (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"118","Tyree Jackson (NYG)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"119","Zach Gentry (LV)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"120","Stephen Carlson (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Jody Fortson Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"122","Dalton Keene (HOU)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"123","Noah Togiai (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Lawrence Cager (NYG)","4","5","36","9.0","10","0","1","0","0","0","0","9","0.0","0.0","0.0%"
"125","Tyler Mabry (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"126","Sean McKeon (DET)","0","2","0","0","0","0","0","0","0","0","0","9","0.0","0.0","0.0%"
"127","Tyler Davis (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"128","Scotty Washington (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Tommy Hudson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"130","Cade Stover (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.4%"
"131","Zack Kuntz (NYJ)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"132","Brayden Willis (SF)","0","0","0","0","0","0","0","0","0","0","0","7","0.0","0.0","0.0%"
"133","Derek Parish (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.3%"
"134","Joel Wilson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"135","Blake Whiteheart (ARI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"136","Henry Pearson (GB)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"137","Patrick Murtagh (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"138","Brady Russell (SEA)","0","0","0","0","0","0","0","0","0","0","0","10","0.0","0.0","0.0%"
"139","E.J. Jenkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"140","Travis Vokolek (ARI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"141","Thomas Odukoya (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"142","Tanner Taula (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"143","Rodney Williams (PIT)","0","2","0","0","0","0","0","0","0","0","0","13","0.0","0.0","0.0%"
"144","Chris Pierce Jr. (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"145","Leroy Watson IV (TEN)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"146","Dallin Holker (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"147","Jaheim Bell (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"148","Kehinde Oginni Hassan (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"149","Jake Tonges (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"150","Zaire Mitchell-Paden (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"151","Alec Holler (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"152","Tip Reiman (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"153","Jacob Warren (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"154","Jack Westover (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"155","Brenden Bates (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"156","Messiah Swinson (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"157","Devin Culp (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"158","Luke Benson (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"159","Colson Yankoff (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"160","Steven Stilianos (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"161","Treyton Welch (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"162","Mason Pline (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"163","Thomas Yassmin (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"164","Neal Johnson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"165","Trent Pennix (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"166","Kevin Foelsch (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"167","Shawn Bowman (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"168","Lincoln Sefcik (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"169","Mike Rigerman (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"170","Riley Sharp (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"171","David Martin-Robinson (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"172","Cam Grandy (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"173","John Samuel Shenker (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"174","Jordan Murray (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"175","Princeton Fant (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"176","John Stephens Jr. (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"177","Izaiah Gathings (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"178","Brevyn Spann-Ford (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"179","Zach Heins (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"180","McCallan Castles (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"181","Tanner McLachlan (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"182","Jared Wiley (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"183","AJ Barner (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"184","Ben Sinnott (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5.3%"
"185","La'Michael Pettway (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"186","Matt Bushman (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"187","Trey Knox (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"188","Brock Bowers (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","84.0%"
"189","Austin Stogner (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"190","Theo Johnson (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"191","Baylor Cupp (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"192","Miller Forristall (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"193","Tre' McKitty (BUF)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"194","Hunter Long (LAR)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.1%"
"195","Albert Okwuegbunam Jr. (PHI)","0","1","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.1%"
"196","Sammis Reyes (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"197","Cameron Latu (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"198","Erick All Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"199","Nikola Kalinic (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"200","Tanner Conner (MIA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"201","Armani Rogers (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"202","Ja'Tavion Sanders (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.0%"
"203","Jelani Woods (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.2%"
"204","Jacob Harris (PHI)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"205","Josh Pederson (JAC)","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"206","Ben Mason (LAC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"207","Hunter Kampmoyer (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"208","Zach Davidson (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"209","Bernhard Seikovits (ARI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"210","Michael Jacobson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"211","Shane Zylstra (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"212","Dominique Curry (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"213","Drake Dunsmore (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"214","Jordan Matthews (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"215","Derek Fine (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"216","J.P. Foschi (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"217","Darnell Dinkins (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Brad Cottam (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"219","Joey Haynos (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"220","James Dearth (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"221","Marquez Branson (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"222","Keith Zinger (ATL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Justin Snow (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","N'Keal Harry (MIN)","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.1%"
"225","Darrell Daniels (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"226","Anthony Firkser (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"227","J.P. Holtz (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"228","Zach Wood (NO)","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"229","Jordan Thomas (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"230","David Wells (TB)","2","2","-10","-5.0","1","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"231","Tyler Kroft (FA)","0","0","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.0%"
"232","James Winchester (KC)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"233","Tyler Ott (WAS)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"234","Patrick Scales (CHI)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"235","Andrew DePaola (MIN)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"236","Stephen Anderson (FA)","0","0","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.0%"
"237","Eric Tomlinson (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"238","Hayden Rucci (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
""
""
